  # ell             TT              EE              BB               TE 
  312   0.3674691E+04   0.1130728E+02   0.3466950E-01   0.1199702E+03
  313   0.3640924E+04   0.1149400E+02   0.3482081E-01   0.1198518E+03
  314   0.3607218E+04   0.1168105E+02   0.3496945E-01   0.1196954E+03
  315   0.3573577E+04   0.1186832E+02   0.3511669E-01   0.1195012E+03
  316   0.3540020E+04   0.1205578E+02   0.3526158E-01   0.1192692E+03
  317   0.3506552E+04   0.1224344E+02   0.3540707E-01   0.1189992E+03
  318   0.3473177E+04   0.1243087E+02   0.3555268E-01   0.1186919E+03
  319   0.3439912E+04   0.1261848E+02   0.3569582E-01   0.1183465E+03
  320   0.3406772E+04   0.1280599E+02   0.3583838E-01   0.1179633E+03
  321   0.3373757E+04   0.1299329E+02   0.3597976E-01   0.1175427E+03
  322   0.3340881E+04   0.1318039E+02   0.3612172E-01   0.1170839E+03
  323   0.3308145E+04   0.1336708E+02   0.3626452E-01   0.1165876E+03
  324   0.3275580E+04   0.1355346E+02   0.3640626E-01   0.1160538E+03
  325   0.3243180E+04   0.1373952E+02   0.3654496E-01   0.1154821E+03
  326   0.3210963E+04   0.1392498E+02   0.3668200E-01   0.1148728E+03
  327   0.3178918E+04   0.1410992E+02   0.3681920E-01   0.1142263E+03
  328   0.3147085E+04   0.1429425E+02   0.3695769E-01   0.1135428E+03
  329   0.3115438E+04   0.1447776E+02   0.3709449E-01   0.1128228E+03
  330   0.3084015E+04   0.1466056E+02   0.3722919E-01   0.1120665E+03
  331   0.3052798E+04   0.1484253E+02   0.3736484E-01   0.1112746E+03
  332   0.3021812E+04   0.1502351E+02   0.3749902E-01   0.1104472E+03
  333   0.2991063E+04   0.1520356E+02   0.3763221E-01   0.1095848E+03
  334   0.2960552E+04   0.1538251E+02   0.3776699E-01   0.1086877E+03
  335   0.2930266E+04   0.1556031E+02   0.3790100E-01   0.1077561E+03
  336   0.2900268E+04   0.1573685E+02   0.3803245E-01   0.1067910E+03
  337   0.2870526E+04   0.1591217E+02   0.3816238E-01   0.1057922E+03
  338   0.2841055E+04   0.1608610E+02   0.3829585E-01   0.1047602E+03
  339   0.2811857E+04   0.1625861E+02   0.3842656E-01   0.1036955E+03
  340   0.2782944E+04   0.1642947E+02   0.3855642E-01   0.1025984E+03
  341   0.2754340E+04   0.1659904E+02   0.3868680E-01   0.1014691E+03
  342   0.2726029E+04   0.1676675E+02   0.3881348E-01   0.1003083E+03
  343   0.2698027E+04   0.1693286E+02   0.3894323E-01   0.9911622E+02
  344   0.2670341E+04   0.1709698E+02   0.3907408E-01   0.9789337E+02
  345   0.2642978E+04   0.1725941E+02   0.3920082E-01   0.9664000E+02
  346   0.2615960E+04   0.1741995E+02   0.3932840E-01   0.9535616E+02
  347   0.2589275E+04   0.1757837E+02   0.3945483E-01   0.9404290E+02
  348   0.2562936E+04   0.1773471E+02   0.3958388E-01   0.9270023E+02
  349   0.2536949E+04   0.1788892E+02   0.3971001E-01   0.9132911E+02
  350   0.2511320E+04   0.1804095E+02   0.3983586E-01   0.8992940E+02
  351   0.2486047E+04   0.1819075E+02   0.3996223E-01   0.8850256E+02
  352   0.2461150E+04   0.1833818E+02   0.4008706E-01   0.8704930E+02
  353   0.2436609E+04   0.1848321E+02   0.4021424E-01   0.8556979E+02
  354   0.2412450E+04   0.1862589E+02   0.4033806E-01   0.8406489E+02
